playerName,seasonStartYear,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,inflationAdjSalary
Allen Iverson,1997,38.9,8.1,17.6,0.9,2.9,4.9,6.7,1.1,2.6,3.7,6.2,2.2,0.3,3.0,2.5,22.0,5302.8
LeBron James,2009,38.9,10.0,20.0,1.7,5.0,7.8,10.3,1.0,6.6,7.5,8.4,1.7,1.1,3.5,1.6,29.6,19877.042
Kobe Bryant,2001,38.9,9.5,20.5,0.6,1.9,6.0,7.4,1.4,4.2,5.6,5.3,1.5,0.5,2.8,3.0,25.5,17171.797
Lamar Odom,2006,38.8,5.9,12.6,0.9,3.2,3.4,5.0,2.0,8.0,10.0,4.6,0.9,0.6,2.8,3.3,16.2,16535.555
Kobe Bryant,2003,38.8,8.1,18.8,1.1,3.6,6.8,8.0,1.4,3.9,5.3,5.2,1.8,0.4,2.7,2.7,24.1,19966.771
Dwyane Wade,2005,38.8,9.4,18.9,0.3,1.2,8.5,10.7,1.4,4.4,5.8,6.5,2.0,0.9,3.7,2.9,27.5,4235.272
Tim Duncan,1997,38.8,8.6,15.7,0.0,0.1,3.9,6.0,3.2,8.4,11.6,2.6,0.7,2.5,3.3,3.1,21.1,5030.257
Jim Jackson,2003,38.8,4.8,11.4,2.0,5.1,1.4,1.6,0.6,5.7,6.3,2.8,1.1,0.3,2.2,2.8,13.0,3253.844
Kevin Durant,2011,38.8,9.8,19.5,2.0,5.3,6.6,7.6,0.6,7.2,7.8,3.5,1.4,1.2,3.6,2.1,28.1,18664.95
Jimmy Butler,2014,38.8,6.7,14.6,1.3,3.4,5.8,6.9,1.7,4.1,5.8,3.2,1.9,0.6,1.5,1.8,20.5,2415.77
Luol Deng,2011,38.8,5.8,13.9,1.4,4.0,2.2,2.9,1.4,5.2,6.7,2.8,1.0,0.8,1.8,1.5,15.2,14835.298
